"COM";"Région";"Commune";"PTOT";"Médecin généraliste";"Masseur kinésithérapeute";"Pédicure-podologue";"Diététicien";"LIBGEO";"Boulodrome";"Tennis";"Athlétisme";"Plateaux et terrains de jeux extérieurs";"Salles spécialisées";"Terrains de grands jeux";"Salles de combat";"Salles de remise en forme";"Salles multisports (gymnase)"
"34255";"Occitanie";"Saint-Gély-du-Fesc";"10810";"19";"37";"6";"2";"Saint-Gély-du-Fesc";"1";"1";"0";"0";"4";"1";"1";"1";"3"
"34270";"Occitanie";"Saint-Jean-de-Védas";"12722";"23";"48";"4";"3";"Saint-Jean-de-Védas";"1";"1";"1";"2";"2";"2";"2";"4";"1"
"34337";"Occitanie";"Villeneuve-lès-Maguelone";"10521";"9";"26";"1";"2";"Villeneuve-lès-Maguelone";"0";"1";"1";"4";"2";"2";"2";"2";"1"
"35024";"Bretagne";"Betton";"12959";"10";"25";"3";"1";"Betton";"0";"1";"0";"1";"1";"1";"1";"0";"2"
"35051";"Bretagne";"Cesson-Sévigné";"18212";"21";"39";"5";"2";"Cesson-Sévigné";"0";"3";"2";"2";"4";"4";"2";"3";"6"
"35055";"Bretagne";"Chantepie";"10391";"8";"13";"3";"1";"Chantepie";"0";"1";"0";"1";"1";"1";"1";"0";"2"
"35069";"Bretagne";"Châteaugiron";"10780";"6";"12";"3";"0";"Châteaugiron";"1";"2";"0";"3";"1";"4";"1";"1";"2"
"35093";"Bretagne";"Dinard";"10753";"13";"15";"6";"2";"Dinard";"0";"1";"3";"2";"4";"2";"2";"1";"4"
"35210";"Bretagne";"Pacé";"12257";"13";"13";"2";"2";"Pacé";"0";"1";"1";"1";"2";"1";"1";"0";"2"
"35236";"Bretagne";"Redon";"10054";"15";"14";"6";"3";"Redon";"0";"1";"2";"1";"0";"3";"1";"0";"7"
"35278";"Bretagne";"Saint-Grégoire";"10206";"31";"54";"5";"1";"Saint-Grégoire";"1";"1";"1";"0";"2";"2";"1";"3";"3"
"35281";"Bretagne";"Saint-Jacques-de-la-Lande";"13782";"12";"12";"3";"1";"Saint-Jacques-de-la-Lande";"1";"2";"1";"3";"1";"1";"1";"2";"3"
"35360";"Bretagne";"Vitré";"19553";"21";"28";"8";"2";"Vitré";"0";"3";"3";"3";"2";"7";"1";"2";"6"
"36088";"Centre-Val de Loire";"Issoudun";"11232";"8";"12";"4";"1";"Issoudun";"1";"1";"2";"5";"4";"3";"2";"2";"4"
"37003";"Centre-Val de Loire";"Amboise";"13330";"12";"13";"4";"2";"Amboise";"2";"2";"2";"4";"3";"2";"2";"2";"2"
"37050";"Centre-Val de Loire";"Chambray-lès-Tours";"11830";"19";"25";"4";"1";"Chambray-lès-Tours";"2";"3";"2";"6";"3";"2";"2";"0";"2"
"37109";"Centre-Val de Loire";"Fondettes";"11239";"14";"20";"2";"3";"Fondettes";"1";"2";"1";"2";"1";"1";"1";"0";"3"
"37156";"Centre-Val de Loire";"Montlouis-sur-Loire";"11213";"7";"9";"3";"5";"Montlouis-sur-Loire";"1";"2";"1";"2";"1";"1";"1";"1";"2"
"37195";"Centre-Val de Loire";"La Riche";"10434";"10";"3";"2";"0";"La Riche";"0";"2";"0";"1";"1";"2";"2";"0";"1"
"37208";"Centre-Val de Loire";"Saint-Avertin";"15340";"18";"28";"6";"1";"Saint-Avertin";"2";"3";"0";"6";"3";"3";"1";"3";"4"
"37214";"Centre-Val de Loire";"Saint-Cyr-sur-Loire";"17350";"26";"35";"6";"3";"Saint-Cyr-sur-Loire";"2";"3";"1";"1";"4";"3";"0";"3";"7"
"37233";"Centre-Val de Loire";"Saint-Pierre-des-Corps";"16177";"6";"13";"3";"1";"Saint-Pierre-des-Corps";"2";"3";"4";"4";"2";"6";"1";"2";"3"
"38085";"Auvergne-Rhône-Alpes";"Charvieu-Chavagneux";"10368";"6";"5";"2";"1";"Charvieu-Chavagneux";"1";"2";"1";"5";"0";"2";"1";"0";"2"
"38158";"Auvergne-Rhône-Alpes";"Eybens";"10081";"9";"15";"3";"2";"Eybens";"4";"5";"0";"3";"0";"7";"2";"2";"4"
"38193";"Auvergne-Rhône-Alpes";"L'Isle-d'Abeau";"17441";"8";"10";"1";"1";"L'Isle-d'Abeau";"3";"1";"4";"6";"2";"3";"3";"2";"3"
